Date,PPG,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer,Segment,Sub.Segment,Brand,Sub.Brand,Packsize,Product.Type,APN,Vol.Sales,Wtd.Selling.Dist,PPG_Retailer,WeekNum,Month,Quarter,Year,Month_Year
2018-08-05,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 160,0.0,0.0,Promo.Group 20__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 161,0.0,0.0,Promo.Group 20__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 164,1.59962,97.8,Promo.Group 20__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,99.0,Product.Type 3,APN 165,0.0,0.0,Promo.Group 20__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 167,0.0,0.0,Promo.Group 20__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,99.0,Product.Type 3,APN 168,0.0,0.0,Promo.Group 20__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 173,0.7491,97.7,Promo.Group 20__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 175,0.0,0.0,Promo.Group 20__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 177,0.0,0.2,Promo.Group 20__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,200.0,Product.Type 3,APN 178,0.0,0.5,Promo.Group 20__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 179,0.0,0.0,Promo.Group 20__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 182,0.0,0.0,Promo.Group 20__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,99.0,Product.Type 3,APN 183,0.0,0.0,Promo.Group 20__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 184,1.36224,99.8,Promo.Group 20__Retailer 0,31,8,3,2018,8__2018
