Date,PPG,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer,Segment,Sub.Segment,Brand,Sub.Brand,Packsize,Product.Type,APN,Vol.Sales,Wtd.Selling.Dist,PPG_Retailer,WeekNum,Month,Quarter,Year,Month_Year
2018-08-05,Promo.Group 19,1,0,0,1,0,0,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,1000.0,Product.Type 3,APN 156,0.0,0.0,Promo.Group 19__Retailer 1,31,8,3,2018,8__2018
2018-08-05,Promo.Group 19,1,0,0,1,0,0,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,1000.0,Product.Type 3,APN 157,0.0,0.0,Promo.Group 19__Retailer 1,31,8,3,2018,8__2018
2018-08-05,Promo.Group 19,1,0,0,1,0,0,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,400.0,Product.Type 3,APN 373,0.0,0.0,Promo.Group 19__Retailer 1,31,8,3,2018,8__2018
2018-08-05,Promo.Group 19,1,0,0,1,0,0,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,500.0,Product.Type 3,APN 375,0.0,0.0,Promo.Group 19__Retailer 1,31,8,3,2018,8__2018
2018-08-05,Promo.Group 19,1,0,0,1,0,0,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,520.0,Product.Type 3,APN 376,9.95852,99.4,Promo.Group 19__Retailer 1,31,8,3,2018,8__2018
2018-08-12,Promo.Group 19,0,0,0,0,0,0,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,1000.0,Product.Type 3,APN 156,0.0,0.0,Promo.Group 19__Retailer 1,32,8,3,2018,8__2018
2018-08-12,Promo.Group 19,0,0,0,0,0,0,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,1000.0,Product.Type 3,APN 157,0.0,0.0,Promo.Group 19__Retailer 1,32,8,3,2018,8__2018
2018-08-12,Promo.Group 19,0,0,0,0,0,0,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,400.0,Product.Type 3,APN 373,0.0,0.0,Promo.Group 19__Retailer 1,32,8,3,2018,8__2018
2018-08-12,Promo.Group 19,0,0,0,0,0,0,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,500.0,Product.Type 3,APN 375,0.0,0.0,Promo.Group 19__Retailer 1,32,8,3,2018,8__2018
2018-08-12,Promo.Group 19,0,0,0,0,0,0,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,520.0,Product.Type 3,APN 376,9.4926,99.3,Promo.Group 19__Retailer 1,32,8,3,2018,8__2018
2018-08-19,Promo.Group 19,0,0,0,0,0,1,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,1000.0,Product.Type 3,APN 156,0.0,0.0,Promo.Group 19__Retailer 1,33,8,3,2018,8__2018
2018-08-19,Promo.Group 19,0,0,0,0,0,1,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,1000.0,Product.Type 3,APN 157,0.0,0.0,Promo.Group 19__Retailer 1,33,8,3,2018,8__2018
2018-08-19,Promo.Group 19,0,0,0,0,0,1,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,400.0,Product.Type 3,APN 373,0.0,0.0,Promo.Group 19__Retailer 1,33,8,3,2018,8__2018
2018-08-19,Promo.Group 19,0,0,0,0,0,1,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,500.0,Product.Type 3,APN 375,0.0,0.0,Promo.Group 19__Retailer 1,33,8,3,2018,8__2018
2018-08-19,Promo.Group 19,0,0,0,0,0,1,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,520.0,Product.Type 3,APN 376,9.53888,99.4,Promo.Group 19__Retailer 1,33,8,3,2018,8__2018
2018-08-26,Promo.Group 19,0,0,0,0,0,1,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,1000.0,Product.Type 3,APN 156,0.0,0.0,Promo.Group 19__Retailer 1,34,8,3,2018,8__2018
2018-08-26,Promo.Group 19,0,0,0,0,0,1,Retailer 1,Candy Bags,,Brand 4,Sub.Brand 63,1000.0,Product.Type 3,APN 157,0.0,0.0,Promo.Group 19__Retailer 1,34,8,3,2018,8__2018
